Date,Category,Likes
2021-10-11,Travel,9010
2021-10-12,Family,8342
2021-10-13,Food,7765
2021-10-14,Food,3532
2021-10-15,Culture,5811
2021-10-16,Family,2795
2021-10-17,Fitness,2348
2021-10-18,Music,4437
2021-10-19,Family,7638
2021-10-20,Food,388
2021-10-21,Music,2168
2021-10-22,Music,5465
2021-10-23,Travel,5671
2021-10-24,Travel,5952
2021-10-25,Culture,1359
2021-10-26,Health,6384
2021-10-27,Music,5087
2021-10-28,Fitness,6645
2021-10-29,Health,2365
2021-10-30,Food,3442
2021-10-31,Family,3754
2021-11-01,Culture,9853
2021-11-02,Culture,8283
2021-11-03,Health,6151
2021-11-04,Music,483
2021-11-05,Music,4084
2021-11-06,Travel,7627
2021-11-07,Family,6870
2021-11-08,Health,2472
2021-11-09,Food,6621
2021-11-10,Health,9784
2021-11-11,Music,8289
2021-11-12,Fashion,4116
2021-11-13,Culture,768
2021-11-14,Fitness,2398
2021-11-15,Food,4110
2021-11-16,Fitness,3926
2021-11-17,Food,6632
2021-11-18,Fashion,6738
2021-11-19,Health,7577
2021-11-20,Health,752
2021-11-21,Food,7526
2021-11-22,Fashion,4968
2021-11-23,Fashion,3288
2021-11-24,Culture,5636
2021-11-25,Travel,2662
2021-11-26,Food,7570
2021-11-27,Health,2573
2021-11-28,Travel,5538
2021-11-29,Food,7808
2021-11-30,Culture,9929
2021-12-01,Family,9398
2021-12-02,Food,2293
2021-12-03,Food,8827
2021-12-04,Food,7907
2021-12-05,Fashion,4813
2021-12-06,Food,816
2021-12-07,Food,7503
2021-12-08,Travel,8662
2021-12-09,Family,4159
2021-12-10,Music,4425
2021-12-11,Fashion,9820
2021-12-12,Family,4858
2021-12-13,Culture,4679
2021-12-14,Health,3151
2021-12-15,Culture,3812
2021-12-16,Health,194
2021-12-17,Travel,4050
2021-12-18,Fitness,8268
2021-12-19,Food,2387
2021-12-20,Music,7140
2021-12-21,Family,4703
2021-12-22,Music,5233
2021-12-23,Fitness,4704
2021-12-24,Travel,7040
2021-12-25,Music,1986
2021-12-26,Fitness,6992
2021-12-27,Fitness,6418
2021-12-28,Health,2524
2021-12-29,Culture,2111
2021-12-30,Music,5310
2021-12-31,Food,5996
2022-01-01,Health,7471
2022-01-02,Fashion,472
2022-01-03,Travel,4875
2022-01-04,Culture,9342
2022-01-05,Health,9896
2022-01-06,Family,2595
2022-01-07,Culture,227
2022-01-08,Travel,7018
2022-01-09,Fashion,5054
2022-01-10,Family,3726
2022-01-11,Music,8500
2022-01-12,Travel,817
2022-01-13,Culture,4077
2022-01-14,Health,4481
2022-01-15,Culture,793
2022-01-16,Food,7725
2022-01-17,Music,5042
2022-01-18,Music,7815
2022-01-19,Health,7712
2022-01-20,Music,4141
2022-01-21,Food,6281
2022-01-22,Culture,5389
2022-01-23,Culture,182
2022-01-24,Food,1821
2022-01-25,Health,6194
2022-01-26,Family,7608
2022-01-27,Fitness,8431
2022-01-28,Music,5348
2022-01-29,Travel,300
2022-01-30,Family,36
2022-01-31,Fitness,3374
2022-02-01,Fashion,1335
2022-02-02,Family,3094
2022-02-03,Fitness,3473
2022-02-04,Health,2659
2022-02-05,Family,9996
2022-02-06,Fitness,6942
2022-02-07,Travel,8715
2022-02-08,Food,3224
2022-02-09,Fashion,9598
2022-02-10,Travel,6515
2022-02-11,Health,4757
2022-02-12,Health,909
2022-02-13,Fitness,8478
2022-02-14,Music,2310
2022-02-15,Family,2451
2022-02-16,Family,3654
2022-02-17,Music,2595
2022-02-18,Food,4701
2022-02-19,Family,5987
2022-02-20,Music,7053
2022-02-21,Fashion,2983
2022-02-22,Fashion,812
2022-02-23,Fitness,6611
2022-02-24,Fitness,4817
2022-02-25,Fitness,3576
2022-02-26,Food,1346
2022-02-27,Culture,6353
2022-02-28,Fashion,8172
2022-03-01,Travel,4344
2022-03-02,Fashion,7951
2022-03-03,Travel,2578
2022-03-04,Fashion,2334
2022-03-05,Family,5185
2022-03-06,Health,2951
2022-03-07,Family,5775
2022-03-08,Music,3456
2022-03-09,Family,5240
2022-03-10,Fashion,2281
2022-03-11,Fashion,444
2022-03-12,Fashion,6282
2022-03-13,Food,8160
2022-03-14,Culture,6650
2022-03-15,Music,7247
2022-03-16,Fitness,6104
2022-03-17,Travel,2153
2022-03-18,Culture,6421
2022-03-19,Fitness,1711
2022-03-20,Travel,423
2022-03-21,Food,6149
2022-03-22,Music,2783
2022-03-23,Fitness,6792
2022-03-24,Music,7279
2022-03-25,Travel,370
2022-03-26,Fitness,8629
2022-03-27,Travel,157
2022-03-28,Fitness,8207
2022-03-29,Culture,4792
2022-03-30,Culture,1156
2022-03-31,Fitness,6540
2022-04-01,Travel,5585
2022-04-02,Family,6748
2022-04-03,Food,231
2022-04-04,Food,1573
2022-04-05,Music,4080
2022-04-06,Culture,4518
2022-04-07,Health,4016
2022-04-08,Travel,2891
2022-04-09,Fashion,4698
2022-04-10,Family,7594
2022-04-11,Music,6339
2022-04-12,Music,2726
2022-04-13,Music,7094
2022-04-14,Culture,8975
2022-04-15,Food,7681
2022-04-16,Fashion,8402
2022-04-17,Fitness,7916
2022-04-18,Health,164
2022-04-19,Culture,9207
2022-04-20,Music,7532
2022-04-21,Family,3070
2022-04-22,Family,4172
2022-04-23,Fitness,7833
2022-04-24,Travel,8383
2022-04-25,Family,9226
2022-04-26,Family,5074
2022-04-27,Food,558
2022-04-28,Health,6201
2022-04-29,Fitness,4672
2022-04-30,Food,2699
2022-05-01,Family,5308
2022-05-02,Health,5972
2022-05-03,Fitness,4931
2022-05-04,Fitness,3569
2022-05-05,Travel,7517
2022-05-06,Health,9992
2022-05-07,Health,6698
2022-05-08,Food,3560
2022-05-09,Culture,2591
2022-05-10,Health,7582
2022-05-11,Food,7557
2022-05-12,Fitness,1560
2022-05-13,Culture,3698
2022-05-14,Travel,6412
2022-05-15,Health,3716
